feature,mean_abs_shap
hours_since_last_outage,1.3641268816793957
solar_ratio,0.7573037689584957
solar_pv_kw,0.45912579376581697
load_zscore_24h,0.45435006104781955
load_ratio_6h_24h,0.37600906112269983
outage_frequency_7d,0.37084812406344797
outage_trend_7d,0.355845379827506
hour,0.3372644921060374
sterilization_kw,0.2437059167863816
pressure_change_3h,0.23991504986594733
peak_ratio,0.23293709909245064
shortwave_radiation,0.22812096084547973
load_rolling_6h,0.22435348014212628
surface_pressure,0.21658843651769305
load_cv_24h,0.20210531341114088
avg_outage_duration_7d,0.17577988684543894
base_load_kw,0.16790611483381163
hour_cos,0.16653596745486496
load_diff_24h_rel,0.16394882748194736
load_std_24h,0.1539842365849166
base_load_ratio,0.1520256636070886
load_rolling_24h,0.14667490435965472
load_diff_24h,0.14526225240150914
hour_sin,0.14477857597623367
load_pct_change_1h,0.1274486991694409
sterilization_ratio,0.12561933609586606
load_diff_1h_rel,0.11839442014308647
last_outage_duration_h,0.1061989027677189
temperature_2m,0.10568919382982915
wind_gusts_10m,0.09609934732085221
wind_speed_10m,0.08609977399923949
total_load_kw,0.08560074845401952
thermal_amplitude_24h,0.08436249624643312
load_diff_1h,0.07332891302411093
dew_point_2m,0.06908050820434392
humidity_change_3h,0.06687146920764947
relative_humidity_2m,0.050821335576949886
evapotranspiration,0.050009768760657526
month_cos,0.048196870778922776
day_of_week,0.040901341703485604
cloud_cover_pct,0.038698576386901815
temp_humidity_interaction,0.03848065795208724
month,0.024925400016059526
wind_precipitation_interaction,0.016688869248261514
month_sin,0.016227335434152855
precipitation,0.009370400521461923
weathercode,0.009020748677383427
rain_intensity,0.004179437763238287
is_public_holiday,0.0033258480616682787
is_weekend,0.002012210552821333
solar_available,0.0
heat_stress,0.0
visibility_m,0.0
cape,0.0
